Temperature,Humidity,Plant
20.87974371,82.00274423,Rice 
21.77046169,80.31964408,Rice  
23.00445915,82.3207629,Rice  
26.49109635,80.15836264,Rice  
20.13017482,81.60487287,Rice  
23.05804872,83.37011772,Rice  
22.70883798,82.63941394,Rice  
20.27774362,82.89408619,Rice  
24.51588066,83.5352163,Rice  
23.22397386,83.03322691,Rice  
26.52723513,81.41753846,Rice  
23.97898217,81.45061596,Rice  
26.80079604,80.88684822,Rice  
24.01497622,82.05687182,Rice  
25.66585205,80.66385045,Rice  
24.28209415,80.30025587,Rice  
21.58711777,82.7883708,Rice  
23.79391957,80.41817957,Rice  
21.8652524,80.1923008,Rice  
23.57943626,83.58760316,Rice  
21.32504158,80.47476396,Rice  
25.15745531,83.11713476,Rice  
21.94766735,80.97384195,Rice  
21.0525355,82.67839517,Rice  
23.48381344,81.33265073,Rice  
25.0756354,80.52389148,Rice  
26.35927159,84.04403589,Rice  
24.52922681,80.54498576,Rice  
20.77576147,84.49774397,Rice  
22.30157427,80.64416466,Rice  
21.44653958,84.94375962,Rice  
22.17931888,80.33127223,Rice  
24.52783742,82.73685569,Rice  
20.26707606,81.63895217,Rice  
25.7354293,83.88266234,Rice  
26.79533926,82.1480873,Rice  
26.75754171,81.17734011,Rice  
23.86330467,83.15250801,Rice  
21.01944696,82.95221726,Rice  
24.17298839,83.7287574,Rice  
22.78133816,82.06719137,Rice  
25.62980105,83.52842314,Rice  
25.59704938,80.14509262,Rice  
23.83067496,84.81360127,Rice  
26.31355498,82.36698992,Rice  
24.8972823,80.52586088,Rice  
24.958779,84.47963372,Rice  
23.24113501,84.59201843,Rice  
21.66628296,80.70960551,Rice  
24.63544858,80.41363018,Rice  
23.43121862,83.06310136,Rice  
20.0454142,80.3477562,Rice  
23.85724032,82.22572988,Rice  
21.97199397,81.89918197,Rice  
26.22916897,83.83625819,Rice  
23.44676801,84.79352417,Rice  
25.65553461,83.47021081,Rice  
24.44345477,82.45432595,Rice  
20.2801937,82.1235421,Rice  
21.7238313,80.2389895,Rice  
20.41447029,82.20802629,Rice  
25.75528612,83.51827127,Rice  
20.61521424,83.77345559,Rice  
21.84106875,80.72886384,Rice  
20.08369642,83.29114712,Rice  
24.45802087,82.74835604,Rice  
21.14347496,80.33502926,Rice  
25.78720567,82.11124033,Rice  
23.64124821,80.28597873,Rice  
23.43191632,80.56887849,Rice  
24.97669518,83.891805,Rice  
22.72791041,82.1706881,Rice  
24.87300744,82.84022551,Rice  
21.32376327,83.00320459,Rice  
26.29465461,84.56919326,Rice  
22.2286982,81.85872947,Rice  
26.73072391,81.78596776,Rice  
24.88921174,81.97927117,Rice  
26.88444878,81.46033732,Rice  
22.67846116,83.72874389,Rice  
26.08867875,80.37979919,Rice  
25.42977518,82.94682591,Rice  
26.40323239,81.05635517,Rice  
26.04371967,84.96907151,Rice  
25.2827223,80.54372813,Rice  
22.08576562,83.47038318,Rice  
23.28617173,81.43321641,Rice  
25.48591986,81.40633547,Rice  
23.67575393,81.03569343,Rice  
20.82477109,84.1341879,Rice  
26.92995077,81.91411159,Rice  
23.83509503,83.88387074,Rice  
26.52872817,80.12267476,Rice  
26.46428311,83.85642678,Rice  
22.69657794,82.81088865,Rice  
22.68319059,83.46358271,Rice  
21.53346343,82.14004101,Rice  
21.40865769,83.3293191,Rice  
26.54348085,84.67353597,Rice  
23.35905428,83.59512273,Rice  
22.61359953,63.69070564,Maize  
26.10018422,71.57476937,Maize  
23.55882094,71.59351368,Maize  
19.97215954,57.68272924,Maize  
18.47891261,62.69503871,Maize  
21.77689322,57.80840636,Maize  
25.6217169,66.50415474,Maize  
25.19192419,66.6902901,Maize  
20.41683147,62.5542482,Maize  
24.92162194,66.78627406,Maize  
23.31689124,73.4541537,Maize  
24.84016732,68.3584573,Maize  
22.27526694,58.84015925,Maize  
18.87751445,65.76816093,Maize  
25.19008683,60.2001687,Maize  
18.25405352,55.28220433,Maize  
24.6129118,70.4162444,Maize  
25.1420613,65.26185135,Maize  
23.09348056,60.1159381,Maize  
18.05033737,62.89366992,Maize  
24.9321581,73.80435276,Maize  
18.14710054,71.09445342,Maize  
18.28362235,66.65952796,Maize  
18.83344471,58.75082029,Maize  
25.71895816,67.22190688,Maize  
25.33797709,68.49835977,Maize  
23.89114571,57.48775781,Maize  
21.53574127,71.50905983,Maize  
23.08974909,63.10459626,Maize  
25.61707368,63.4711755,Maize  
21.44526922,63.1621551,Maize  
18.51816776,55.53128131,Maize  
22.53510514,67.99257471,Maize  
23.02038334,61.89472002,Maize  
24.89364635,65.61418761,Maize  
25.77175115,74.089114,Maize  
19.39851734,62.35750641,Maize  
21.54156232,59.64024162,Maize  
23.79746068,74.82913698,Maize  
18.9802729,74.52600826,Maize  
24.10859207,73.13112261,Maize  
24.7947077,70.04556743,Maize  
21.63162756,60.27766379,Maize  
25.37548751,57.21025565,Maize  
22.21738222,72.85462807,Maize  
20.58314011,69.00128641,Maize  
24.87502824,68.74248334,Maize  
20.03728219,56.35606753,Maize  
25.95263264,61.89082199,Maize  
19.28889933,65.47050802,Maize  
20.57981887,65.34583901,Maize  
24.71417533,56.73426469,Maize  
20.27317074,63.91281869,Maize  
18.41932981,64.23580251,Maize  
23.39128187,61.74427165,Maize  
19.84939404,61.24500053,Maize  
21.869274,61.91044947,Maize  
22.8056033,56.50768935,Maize  
19.0781471,69.02298571,Maize  
22.02720976,65.35549924,Maize  
23.80546189,59.24537979,Maize  
18.52510753,69.0276233,Maize  
23.50297882,61.32026065,Maize  
26.54986394,72.89187265,Maize  
19.29563411,69.63481219,Maize  
20.68899915,59.4375337,Maize  
19.32666088,68.034493,Maize  
24.60532218,73.58868502,Maize  
22.27373646,59.52193158,Maize  
25.70196694,61.33450447,Maize  
19.20129357,68.30578978,Maize  
21.70181447,60.47470519,Maize  
20.51716779,59.21235483,Maize  
23.30355338,73.62548442,Maize  
24.2547451,55.64709899,Maize  
24.86374934,65.7420046,Maize  
22.6265115,65.77472881,Maize  
18.04185513,60.61494304,Maize  
23.26237612,72.33125523,Maize  
22.88330922,71.59722446,Maize  
25.97482359,69.36385721,Maize  
26.14384005,66.20569924,Maize  
18.66116213,61.55327249,Maize  
25.10787449,55.97732754,Maize  
23.33844615,59.24580604,Maize  
25.08239719,65.92195844,Maize  
25.36768364,72.52054555,Maize  
25.34217103,63.31801994,Maize  
25.00933355,67.816568,Maize  
18.66746724,71.516474,Maize  
20.37999665,63.73849998,Maize  
18.09300227,72.61024172,Maize  
26.16985907,71.96246617,Maize  
18.65396672,61.37879671,Maize  
26.07470121,59.37147589,Maize  
18.92851916,72.80086137,Maize  
23.30546753,63.24648023,Maize  
18.74826712,62.49878458,Maize  
19.74213321,59.66263104,Maize  
25.73044432,70.74739256,Maize  
17.02498456,16.98861173, Chickpea
19.02061277,17.13159126, Chickpea
17.88776475,15.40589717, Chickpea
18.86805647,15.65809214, Chickpea
18.36952567,19.56381041, Chickpea
20.45078582,15.40312102, Chickpea
20.6543203,16.60820843, Chickpea
17.3348681,18.74926979, Chickpea
18.17912258,18.90426935, Chickpea
18.01272266,18.30968112, Chickpea
20.99373558,19.33470387, Chickpea
19.46233971,15.22538951, Chickpea
19.81344531,14.69765308, Chickpea
18.97424756,19.5161216, Chickpea
18.19737048,14.71070537, Chickpea
18.72963144,19.18197264, Chickpea
20.99502153,19.8601304, Chickpea
20.28155898,16.39535215, Chickpea
17.48042641,15.7559405, Chickpea
20.88818675,14.32313811, Chickpea
17.08498521,16.14565756, Chickpea
20.09340593,15.11279612, Chickpea
17.57212145,14.99927489, Chickpea
19.12065218,18.43475844, Chickpea
18.57665902,19.22008229, Chickpea
17.16606398,14.42457525, Chickpea
18.2872007,16.67921616, Chickpea
19.03025305,18.66725565, Chickpea
17.1418614,17.0662427, Chickpea
17.47809436,17.93253975, Chickpea
20.56601874,14.25803981, Chickpea
17.22385224,15.82069268, Chickpea
19.69141713,19.44225438, Chickpea
17.84851658,19.09172907, Chickpea
18.8202251,16.1074793, Chickpea
17.47500984,16.54314829, Chickpea
18.72649425,17.58406365, Chickpea
18.65580107,16.17772668, Chickpea
18.2356751,19.68538502, Chickpea
18.81198127,15.21618225, Chickpea
18.65054116,17.80852431, Chickpea
20.36720401,16.89574311, Chickpea
18.38120357,16.63805158, Chickpea
17.17012591,17.30457712, Chickpea
19.37101121,15.77458129, Chickpea
17.92845928,14.27327988, Chickpea
19.45339934,18.23490739, Chickpea
19.12829388,14.92241479, Chickpea
19.1034283,17.26184541, Chickpea
17.48504075,16.96070581, Chickpea
19.40751744,18.98030507, Chickpea
20.18649426,19.63719995, Chickpea
17.30287885,15.15405941, Chickpea
17.50361137,15.48083156, Chickpea
18.17234999,14.70085967, Chickpea
17.57445618,16.71826572, Chickpea
20.93175255,18.91295403, Chickpea
19.71098332,17.63879418, Chickpea
19.07937684,17.86754927, Chickpea
18.54988627,16.02542689, Chickpea
18.19903647,17.41333199, Chickpea
18.88852533,14.99451145, Chickpea
